f05.cutoff	f05.value	f10.cutoff	f10.value
0.83	0.82	0.79	0.72
0.74	0.61	0.65	0.43
0.8	0.68	0.76	0.53
0.8	0.82	0.72	0.73
0.79	0.82	0.71	0.73
